CF;MES;CDA
595;1;Ventanilla
519;1;Ventanilla
585;1;Ventanilla
555;1;Ventanilla
745;1;Ventanilla
445;1;Ventanilla
440;1;Ventanilla
592;1;Ventanilla
453;1;Ventanilla
453;1;Ventanilla
583;1;Ventanilla
686;1;Ventanilla
647;1;Ventanilla
638;1;Ventanilla
565;1;Ventanilla
596;1;Ventanilla
505;1;Ventanilla
588;1;Ventanilla
448;1;Ventanilla
334;1;Ventanilla
551;1;Ventanilla
592;1;Ventanilla
970;1;Ventanilla
608;1;Ventanilla
410;1;Ventanilla
324;1;Ventanilla
608;1;Ventanilla
564;1;Ventanilla
619;1;Ventanilla
656;1;Ventanilla
684;1;Ventanilla
603;1;Ventanilla
599;1;Ventanilla
488;1;Ventanilla
449;1;Ventanilla
550;1;Ventanilla
528;1;Ventanilla
598;1;Ventanilla
663;1;Ventanilla
584;1;Ventanilla
513;1;Ventanilla
545;1;Ventanilla
451;1;Ventanilla
354;1;Ventanilla
573;1;Ventanilla
479;1;Ventanilla
558;1;Ventanilla
520;1;Ventanilla
507;1;Ventanilla
556;1;Ventanilla
615;1;Ventanilla
589;1;Ventanilla
552;1;Ventanilla
575;1;Ventanilla
558;1;Ventanilla
562;1;Ventanilla
583;1;Ventanilla
640;1;Ventanilla
466;1;Ventanilla
524;1;Ventanilla
440;1;Ventanilla
486;1;Ventanilla
621;1;Ventanilla
658;1;Ventanilla
646;1;Ventanilla
611;1;Ventanilla
419;1;Ventanilla
637;2;Ventanilla
620;2;Ventanilla
606;2;Ventanilla
432;2;Ventanilla
517;2;Ventanilla
485;2;Ventanilla
547;2;Ventanilla
534;2;Ventanilla
479;2;Ventanilla
1020;2;Ventanilla
600;2;Ventanilla
508;2;Ventanilla
479;2;Ventanilla
542;2;Ventanilla
622;2;Ventanilla
505;2;Ventanilla
613;2;Ventanilla
555;2;Ventanilla
505;2;Ventanilla
482;2;Ventanilla
400;2;Ventanilla
559;2;Ventanilla
551;2;Ventanilla
405;2;Ventanilla
513;2;Ventanilla
479;2;Ventanilla
538;2;Ventanilla
524;2;Ventanilla
457;2;Ventanilla
665;2;Ventanilla
560;2;Ventanilla
501;2;Ventanilla
389;2;Ventanilla
501;2;Ventanilla
492;2;Ventanilla
549;2;Ventanilla
564;2;Ventanilla
530;2;Ventanilla
435;2;Ventanilla
476;2;Ventanilla
616;2;Ventanilla
623;2;Ventanilla
530;2;Ventanilla
609;2;Ventanilla
525;2;Ventanilla
681;2;Ventanilla
591;2;Ventanilla
606;2;Ventanilla
608;2;Ventanilla
440;2;Ventanilla
611;2;Ventanilla
444;2;Ventanilla
503;2;Ventanilla
377;2;Ventanilla
511;2;Ventanilla
542;2;Ventanilla
656;2;Ventanilla
597;2;Ventanilla
667;2;Ventanilla
573;2;Ventanilla
4.333333333;2;Ventanilla
4.333333333;2;Ventanilla
571;2;Ventanilla
626;2;Ventanilla
623;2;Ventanilla
620;2;Ventanilla
596;2;Ventanilla
561;2;Ventanilla
541;2;Ventanilla
557;2;Ventanilla
448;2;Ventanilla
548;2;Ventanilla
574;2;Ventanilla
493;2;Ventanilla
554;2;Ventanilla
556;2;Ventanilla
616;2;Ventanilla
642;2;Ventanilla
663;2;Ventanilla
660;2;Ventanilla
564;2;Ventanilla
492;2;Ventanilla
633;2;Ventanilla
583;2;Ventanilla
546;2;Ventanilla
509;2;Ventanilla
656;2;Ventanilla
582;2;Ventanilla
555;2;Ventanilla
602;2;Ventanilla
633;2;Ventanilla
814;2;Ventanilla
610;2;Ventanilla
616;2;Ventanilla
414;2;Ventanilla
522;2;Ventanilla
527;2;Ventanilla
450;2;Ventanilla
580;2;Ventanilla
624;2;Ventanilla
490;2;Ventanilla
432;2;Ventanilla
423;2;Ventanilla
502;2;Ventanilla
504;2;Ventanilla
556;2;Ventanilla
498;2;Ventanilla
588;2;Ventanilla
540;2;Ventanilla
519;2;Ventanilla
588;2;Ventanilla
653;2;Ventanilla
550;2;Ventanilla
414;2;Ventanilla
500;2;Ventanilla
478;2;Ventanilla
476;2;Ventanilla
604;2;Ventanilla
542;2;Ventanilla
512;2;Ventanilla
640;2;Ventanilla
680;2;Ventanilla
464;2;Ventanilla
629;2;Ventanilla
556;2;Ventanilla
576;2;Ventanilla
566;2;Ventanilla
554;2;Ventanilla
629;2;Ventanilla
545;2;Ventanilla
529;2;Ventanilla
505;2;Ventanilla
670;2;Ventanilla
488;2;Ventanilla
693;2;Ventanilla
700;2;Ventanilla
531;2;Ventanilla
575;2;Ventanilla
517;2;Ventanilla
591;2;Ventanilla
685;2;Ventanilla
641;2;Ventanilla
610;2;Ventanilla
586;2;Ventanilla
661;2;Ventanilla
491;2;Ventanilla
647;2;Ventanilla
567;2;Ventanilla
568;2;Ventanilla
400;2;Ventanilla
518;2;Ventanilla
419;2;Ventanilla
522;2;Ventanilla
447;2;Ventanilla
580;2;Ventanilla
485;2;Ventanilla
694;2;Ventanilla
702;2;Ventanilla
677;2;Ventanilla
604;2;Ventanilla
639;2;Ventanilla
584;2;Ventanilla
460;2;Ventanilla
613;2;Ventanilla
549;2;Ventanilla
627;2;Ventanilla
466;2;Ventanilla
539;2;Ventanilla
338;2;Ventanilla
375;2;Ventanilla
496;2;Ventanilla
646;2;Ventanilla
711;2;Ventanilla
578;2;Ventanilla
574;2;Ventanilla
630;2;Ventanilla
602;2;Ventanilla
658;2;Ventanilla
607;2;Ventanilla
588;2;Ventanilla
606;2;Ventanilla
586;2;Ventanilla
653;2;Ventanilla
579;2;Ventanilla
519;2;Ventanilla
609;2;Ventanilla
559;2;Ventanilla
761;2;Ventanilla
637;2;Ventanilla
660;2;Ventanilla
672;2;Ventanilla
640;2;Ventanilla
610;2;Ventanilla
666;2;Ventanilla
707;2;Ventanilla
519;2;Ventanilla
546;2;Ventanilla
623;2;Ventanilla
675;2;Ventanilla
689;2;Ventanilla
537;2;Ventanilla
655;2;Ventanilla
825;2;Ventanilla
790;2;Ventanilla
590;2;Ventanilla
470;2;Ventanilla
522;2;Ventanilla
548;2;Ventanilla
699;2;Ventanilla
546;2;Ventanilla
704;2;Ventanilla
615;2;Ventanilla
584;2;Ventanilla
643;2;Ventanilla
597;2;Ventanilla
572;2;Ventanilla
436;2;Ventanilla
900;2;Ventanilla
548;2;Ventanilla
630;2;Ventanilla
743;2;Ventanilla
661;2;Ventanilla
657;2;Ventanilla
697;2;Ventanilla
623;2;Ventanilla
571;2;Ventanilla
595;2;Ventanilla
432;2;Ventanilla
570;2;Ventanilla
580;2;Ventanilla
573;2;Ventanilla
658;2;Ventanilla
490;2;Ventanilla
450;2;Ventanilla
365;2;Ventanilla
724;2;Ventanilla
489;2;Ventanilla
638;2;Ventanilla
494;2;Ventanilla
652;2;Ventanilla
522;2;Ventanilla
604;2;Ventanilla
597;2;Ventanilla
672;2;Ventanilla
609;2;Ventanilla
583;2;Ventanilla
608;2;Ventanilla
656;2;Ventanilla
505;2;Ventanilla
524;2;Ventanilla
561;2;Ventanilla
521;2;Ventanilla
388;2;Ventanilla
615;2;Ventanilla
611;2;Ventanilla
612;2;Ventanilla
716;2;Ventanilla
620;2;Ventanilla
651;2;Ventanilla
647;2;Ventanilla
634;2;Ventanilla
685;2;Ventanilla
600;2;Ventanilla
656;2;Ventanilla
658;2;Ventanilla
572;2;Ventanilla
616;2;Ventanilla
555;2;Ventanilla
385;2;Ventanilla
467;2;Ventanilla
548;2;Ventanilla
428;2;Ventanilla
685;2;Ventanilla
711;2;Ventanilla
622;2;Ventanilla
582;2;Ventanilla
633;2;Ventanilla
607;2;Ventanilla
700;2;Ventanilla
504;2;Ventanilla
617;2;Ventanilla
569;2;Ventanilla
558;2;Ventanilla
593;2;Ventanilla
664;2;Ventanilla
525;2;Ventanilla
513;2;Ventanilla
556;2;Ventanilla
547;2;Ventanilla
643;2;Ventanilla
599;2;Ventanilla
632;2;Ventanilla
644;2;Ventanilla
489;2;Ventanilla
683;2;Ventanilla
599;2;Ventanilla
452;2;Ventanilla
562;2;Ventanilla
538;2;Ventanilla
550;2;Ventanilla
589;2;Ventanilla
623;2;Ventanilla
510;2;Ventanilla
545;2;Ventanilla
572;2;Ventanilla
610;2;Ventanilla
484;2;Ventanilla
782;2;Ventanilla
603;2;Ventanilla
570;2;Ventanilla
557;2;Ventanilla
614;2;Ventanilla
670;2;Ventanilla
660;2;Ventanilla
682;2;Ventanilla
691;2;Ventanilla
664;2;Ventanilla
525;2;Ventanilla
550;2;Ventanilla
480;2;Ventanilla
496;2;Ventanilla
481;2;Ventanilla
593;2;Ventanilla
597;2;Ventanilla
638;2;Ventanilla
658;2;Ventanilla
758;2;Ventanilla
583;2;Ventanilla
611;2;Ventanilla
586;2;Ventanilla
580;2;Ventanilla
488;2;Ventanilla
647;2;Ventanilla
549;2;Ventanilla
531;2;Ventanilla
546;2;Ventanilla
785;2;Ventanilla
679;2;Ventanilla
492;2;Ventanilla
797;2;Ventanilla
522;2;Ventanilla
533;2;Ventanilla
504;2;Ventanilla
545;2;Ventanilla
602;2;Ventanilla
641;2;Ventanilla
589;2;Ventanilla
615;2;Ventanilla
574;2;Ventanilla
624;2;Ventanilla
545;2;Ventanilla
595;2;Ventanilla
524;2;Ventanilla
503;2;Ventanilla
670;2;Ventanilla
335;2;Ventanilla
699;2;Ventanilla
425;2;Ventanilla
552;2;Ventanilla
490;2;Ventanilla
691;2;Ventanilla
583;2;Ventanilla
667;2;Ventanilla
5;2;Ventanilla
627;2;Ventanilla
660;2;Ventanilla
595;2;Ventanilla
477;2;Ventanilla
551;2;Ventanilla
522;2;Ventanilla
606;2;Ventanilla
658;2;Ventanilla
512;2;Ventanilla
